mal_id,title,type,source,episodes,aired_from,duration,rating,score,scored_by,rank,popularity,members,favorites,season,studios,producers,licensors,genres
59970,Tensei shitara Slime Datta Ken 4th Season,TV,Manga,,2026-04-03,24 min,PG-13 - Teens 13 or older,8.16,11965.0,507.0,1602,171869,955,spring,8bit,Lantis|Kodansha|Magic Capsule|Nippon Television Network|BS11|Micro Magazine Publishing|Bandai Spirits|Sony Music Solutions|ADK Marketing Solutions|Bandai Namco Filmworks|Bandai Namco Music Live,Inconnu,Action|Comedy|Fantasy
59971,Tensei shitara Slime Datta Ken Movie 2: Soukai no Namida-hen,Movie,Manga,1.0,2026-02-27,1 hr 44 min,PG-13 - Teens 13 or older,7.14,634.0,4209.0,3599,49650,128,,8bit,Bandai Namco Filmworks,Inconnu,Action|Comedy|Fantasy
59974,Kitto Zutto,Music,Original,1.0,2024-09-03,2 min,G - All Ages,,,,25856,129,0,,Rhythmos,Mimoid|HYBE Japan|BigHit Music,Inconnu,Inconnu
59977,Hu He Yao Shi Lu,ONA,Manga,24.0,2024-10-05,20 min per ep,PG-13 - Teens 13 or older,7.21,220.0,3760.0,16664,707,4,,Motion Magic,bilibili,Inconnu,Action|Adventure|Fantasy
59978,Sousou no Frieren 2nd Season,TV,Manga,10.0,2026-01-16,24 min per ep,PG-13 - Teens 13 or older,8.91,203526.0,23.0,501,510772,6869,winter,Madhouse,Aniplex|Dentsu|Shogakukan-Shueisha Productions|Nippon Television Network|TOHO animation|Sound Team Don Juan|Miracle Bus|Shogakukan|Toho Music,Inconnu,Adventure|Drama|Fantasy
59980,Doraemon Movie 44: Nobita no E Sekai Monogatari,Movie,Manga,1.0,2025-03-07,1 hr 45 min,PG - Children,7.68,743.0,1489.0,12997,1811,9,,Shin-Ei Animation,Inconnu,Inconnu,Action|Adventure|Fantasy
59981,Taiyou wo Nakushita Hi,Movie,Original,1.0,2002-01-01,14 min,G - All Ages,,,20814.0,29717,65,0,,Inconnu,Inconnu,Inconnu,Drama
59983,Tsue to Tsurugi no Wistoria Season 2,TV,Manga,,2026-04-12,23 min,PG-13 - Teens 13 or older,8.07,7170.0,642.0,2147,117818,437,spring,Actas|Bandai Namco Pictures,Lantis|TBS|Kodansha|Crunchyroll|Jinnan Studio|Bandai Namco Filmworks|Bandai Namco Music Live,Inconnu,Action|Fantasy
59985,Boku no Kokoro no Yabai Yatsu Movie,Movie,Manga,1.0,2026-02-13,1 hr 45 min,PG-13 - Teens 13 or older,7.72,1441.0,1362.0,4177,38035,183,,Shin-Ei Animation,Bit grooove promotion,Sentai Filmworks,Comedy|Romance
59986,Grand Blue Season 2,TV,Manga,12.0,2025-07-08,24 min per ep,PG-13 - Teens 13 or older,8.5,87468.0,164.0,1410,196979,1302,summer,Zero-G|Liber,Mainichi Broadcasting System|Kodansha|NBCUniversal Entertainment Japan|Avex Pictures|JR East Marketing & Communications|Saber Links|qooop,Inconnu,Comedy
59987,Ai no Shoumi Kigen,Music,Original,1.0,2024-09-29,3 min,PG-13 - Teens 13 or older,6.52,104.0,,22654,230,0,,Andraft,Inconnu,Inconnu,Inconnu
59988,Neppuu,Music,Game,1.0,2024-09-29,3 min,PG-13 - Teens 13 or older,6.37,108.0,,23131,209,0,,Inconnu,Inconnu,Inconnu,Inconnu
